FILE,LABEL,VALUE
calculation,href,fb-20190930.xsd#fb_IncreaseDecreaseInOperatingLeaseRightOfUseAsset
calculation,label,loc_fb_IncreaseDecreaseInOperatingLeaseRightOfUseAsset_e3a31bc9-845d-3f8c-f6f3-d3292605a6ad
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,-1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_ce0d7b63-a366-bc9b-79e1-780981e428fe
calculation,to,loc_fb_IncreaseDecreaseInOperatingLeaseRightOfUseAsset_e3a31bc9-845d-3f8c-f6f3-d3292605a6ad
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,fb-20190930.xsd#fb_IncreaseDecreaseInOperatingLeaseLiabilityNoncurrent
calculation,label,loc_fb_IncreaseDecreaseInOperatingLeaseLiabilityNoncurrent_226b480f-f5a8-7205-1ef6-d32926188fd6
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_ce0d7b63-a366-bc9b-79e1-780981e428fe
calculation,to,loc_fb_IncreaseDecreaseInOperatingLeaseLiabilityNoncurrent_226b480f-f5a8-7205-1ef6-d32926188fd6
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities
calculation,label,loc_us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities_2aae5a95-d2bb-f83c-eefc-57ef1463b480
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
